Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
BMW 525,2009-12,Universalas,3 250 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",389 619 km,Anykščiai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2009-dyzelinas-29987223.html
BMW 525,2004-09,Universalas,3 400 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",312 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2004-dyzelinas-29889666.html
BMW 525,2007-02,Universalas,3 500 €,Dyzelinas,Automatinė,"2.5 l., 120 kW",421 000 km,Panevėžys,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2007-dyzelinas-29998225.html
BMW 525,2008-01,Sedanas,3 500 €,Benzinas,Automatinė,"3.0 l., 160 kW",220 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2008-benzinas-29656187.html
BMW 525,2007-11,Universalas,3 900 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",350 353 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-29700105.html
BMW 525,2011,Sedanas,4 000 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",161 000 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-29195047.html
BMW 525,2006-07,Sedanas,4 000 €,Dyzelinas,Mechaninė,"2.5 l., 130 kW",397 650 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2006-dyzelinas-29737447.html
BMW 525,2007-04,Sedanas,4 350 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",428 246 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2007-dyzelinas-29015261.html
BMW 525,2009-05,Universalas,4 500 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",431 000 km,Alytus,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2009-dyzelinas-29786335.html
BMW 525,2003-02,Sedanas,4 599 €,Dyzelinas,Automatinė,"2.5 l., 125 kW",400 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2003-dyzelinas-29873350.html
BMW 525,2007-11,Universalas,4 650 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",323 000 km,Vilkaviškis,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-30016225.html
BMW 525,2007-12,Sedanas,5 300 €,Dyzelinas,Automatinė,"2.5 l., 145 kW",386 800 km,Vilkaviškis,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2007-dyzelinas-30005825.html
BMW 525,2013-10,Universalas,5 900 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",339 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-29977925.html
BMW 525,1982-01,Sedanas,6 000 €,Benzinas,Automatinė,"2.7 l.,",100 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-7-l-sedanas-1982-benzinas-29105969.html
BMW 525,2007-06,Universalas,6 200 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",290 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-29465286.html
BMW 525,2013-05,Universalas,6 900 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",250 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-29875082.html
BMW 525,2010-08,Universalas,6 999 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",402 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2010-dyzelinas-29612507.html
BMW 525,2010-12,Sedanas,7 000 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",415 000 km,Panevėžys,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-29704045.html
BMW 525,2011-01,Universalas,7 100 €,Dyzelinas,Automatinė,"2.5 l., 150 kW",480 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2011-dyzelinas-29976803.html
BMW 525,2011-12,Sedanas,7 150 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",124 500 km,Joniškis,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-29672027.html
BMW 525,2010-12,Sedanas,7 200 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",256 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-29429100.html
BMW 525,1990-06,Sedanas,7 600 €,Benzinas,Automatinė,"2.5 l., 125 kW",290 000 km,Alytus,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-1990-benzinas-22937264.html
BMW 525,2013-03,Universalas,7 699 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",269 223 km,Gargždai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-29841558.html
BMW 525,2010-04,Sedanas,7 700 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",302 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-29883714.html
BMW 525,2011-05,Sedanas,7 800 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",300 400 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-29850078.html
